# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1305031099.3159 1.1758 0.6223 1.4317 0.6348 0.6349 -0.2939 -0.3280
1305031099.3259 1.1733 0.6227 1.4286 0.6350 0.6353 -0.2933 -0.3273
1305031099.3359 1.1706 0.6230 1.4256 0.6351 0.6349 -0.2935 -0.3278
1305031099.3459 1.1682 0.6234 1.4228 0.6357 0.6352 -0.2923 -0.3271
1305031099.3558 1.1658 0.6238 1.4199 0.6358 0.6355 -0.2916 -0.3269
1305031099.3659 1.1630 0.6242 1.4170 0.6358 0.6353 -0.2918 -0.3272
1305031099.3758 1.1607 0.6245 1.4142 0.6367 0.6359 -0.2898 -0.3261
1305031099.3860 1.1583 0.6249 1.4115 0.6371 0.6363 -0.2887 -0.3255
1305031099.3959 1.1557 0.6253 1.4089 0.6371 0.6367 -0.2880 -0.3253
1305031099.4059 1.1534 0.6256 1.4061 0.6371 0.6369 -0.2880 -0.3247
1305031099.4159 1.1510 0.6262 1.4034 0.6376 0.6374 -0.2871 -0.3235
1305031099.4259 1.1488 0.6266 1.4010 0.6379 0.6381 -0.2864 -0.3223
1305031099.4359 1.1466 0.6271 1.3983 0.6384 0.6382 -0.2860 -0.3214
1305031099.4460 1.1443 0.6275 1.3958 0.6390 0.6385 -0.2854 -0.3201
1305031099.4559 1.1419 0.6279 1.3933 0.6391 0.6385 -0.2856 -0.3199
1305031099.4659 1.1398 0.6282 1.3908 0.6399 0.6385 -0.2849 -0.3188
1305031099.4759 1.1378 0.6287 1.3885 0.6406 0.6394 -0.2832 -0.3171
1305031099.4858 1.1355 0.6290 1.3862 0.6407 0.6402 -0.2831 -0.3155
1305031099.4959 1.1333 0.6294 1.3836 0.6413 0.6404 -0.2831 -0.3138
1305031099.5059 1.1313 0.6300 1.3812 0.6416 0.6408 -0.2832 -0.3123
1305031099.5166 1.1293 0.6303 1.3789 0.6426 0.6405 -0.2830 -0.3109
1305031099.5259 1.1273 0.6308 1.3765 0.6434 0.6407 -0.2825 -0.3093
1305031099.5359 1.1251 0.6312 1.3742 0.6439 0.6405 -0.2826 -0.3087
1305031099.5460 1.1235 0.6316 1.3720 0.6454 0.6407 -0.2808 -0.3068
1305031099.5559 1.1213 0.6321 1.3697 0.6461 0.6409 -0.2798 -0.3059
1305031099.5659 1.1192 0.6325 1.3672 0.6471 0.6409 -0.2789 -0.3047
1305031099.5759 1.1172 0.6329 1.3649 0.6482 0.6410 -0.2778 -0.3030
1305031099.5859 1.1154 0.6334 1.3626 0.6502 0.6414 -0.2757 -0.2998
1305031099.5959 1.1134 0.6339 1.3602 0.6513 0.6416 -0.2751 -0.2973
1305031099.6059 1.1115 0.6343 1.3581 0.6528 0.6417 -0.2744 -0.2947
1305031099.6159 1.1096 0.6349 1.3557 0.6542 0.6414 -0.2740 -0.2924
1305031099.6259 1.1078 0.6355 1.3536 0.6556 0.6410 -0.2739 -0.2904
1305031099.6359 1.1061 0.6361 1.3513 0.6569 0.6412 -0.2729 -0.2876
1305031099.6459 1.1042 0.6367 1.3492 0.6586 0.6408 -0.2724 -0.2853
1305031099.6558 1.1026 0.6371 1.3468 0.6608 0.6401 -0.2720 -0.2823
1305031099.6659 1.1007 0.6378 1.3447 0.6624 0.6397 -0.2715 -0.2798
1305031099.6759 1.0992 0.6384 1.3427 0.6639 0.6397 -0.2713 -0.2766
1305031099.6859 1.0978 0.6389 1.3407 0.6655 0.6392 -0.2708 -0.2742
1305031099.6960 1.0963 0.6395 1.3390 0.6665 0.6388 -0.2709 -0.2727
1305031099.7059 1.0950 0.6401 1.3371 0.6673 0.6385 -0.2715 -0.2707
1305031099.7159 1.0935 0.6407 1.3352 0.6685 0.6378 -0.2712 -0.2697
1305031099.7259 1.0923 0.6412 1.3336 0.6694 0.6375 -0.2711 -0.2684
1305031099.7359 1.0910 0.6417 1.3317 0.6706 0.6372 -0.2703 -0.2669
1305031099.7459 1.0897 0.6423 1.3301 0.6719 0.6372 -0.2690 -0.2650
1305031099.7558 1.0886 0.6429 1.3285 0.6727 0.6372 -0.2678 -0.2640
1305031099.7658 1.0876 0.6434 1.3271 0.6747 0.6370 -0.2651 -0.2622
1305031099.7759 1.0869 0.6437 1.3256 0.6760 0.6371 -0.2632 -0.2605
1305031099.7859 1.0861 0.6441 1.3244 0.6771 0.6369 -0.2613 -0.2598
1305031099.7959 1.0854 0.6446 1.3236 0.6776 0.6364 -0.2603 -0.2608
1305031099.8060 1.0850 0.6449 1.3227 0.6790 0.6368 -0.2576 -0.2591
1305031099.8158 1.0846 0.6450 1.3221 0.6793 0.6368 -0.2570 -0.2589
1305031099.8259 1.0843 0.6451 1.3216 0.6792 0.6370 -0.2565 -0.2592
1305031099.8359 1.0841 0.6452 1.3214 0.6790 0.6373 -0.2561 -0.2595
1305031099.8459 1.0841 0.6453 1.3214 0.6786 0.6376 -0.2558 -0.2599
1305031099.8559 1.0842 0.6453 1.3217 0.6783 0.6379 -0.2555 -0.2601
1305031099.8659 1.0844 0.6452 1.3221 0.6781 0.6385 -0.2550 -0.2598
1305031099.8759 1.0850 0.6452 1.3226 0.6785 0.6389 -0.2541 -0.2586
1305031099.8859 1.0854 0.6452 1.3233 0.6785 0.6394 -0.2538 -0.2579
1305031099.8959 1.0861 0.6451 1.3243 0.6785 0.6395 -0.2535 -0.2579
1305031099.9059 1.0871 0.6449 1.3257 0.6788 0.6395 -0.2533 -0.2572
1305031099.9160 1.0879 0.6445 1.3271 0.6782 0.6393 -0.2548 -0.2577
1305031099.9259 1.0890 0.6444 1.3291 0.6774 0.6393 -0.2563 -0.2583
1305031099.9358 1.0903 0.6443 1.3310 0.6762 0.6394 -0.2588 -0.2588
1305031099.9459 1.0917 0.6439 1.3332 0.6754 0.6390 -0.2614 -0.2592
1305031099.9560 1.0931 0.6434 1.3357 0.6745 0.6391 -0.2636 -0.2590
1305031099.9659 1.0947 0.6429 1.3382 0.6739 0.6390 -0.2656 -0.2587
1305031099.9759 1.0964 0.6425 1.3409 0.6731 0.6396 -0.2673 -0.2575
1305031099.9859 1.0981 0.6419 1.3435 0.6723 0.6398 -0.2693 -0.2571
1305031099.9959 1.1000 0.6414 1.3465 0.6719 0.6401 -0.2703 -0.2565
1305031100.0059 1.1020 0.6408 1.3496 0.6710 0.6397 -0.2728 -0.2571
1305031100.0159 1.1039 0.6403 1.3528 0.6703 0.6398 -0.2746 -0.2568
1305031100.0259 1.1060 0.6398 1.3561 0.6692 0.6399 -0.2765 -0.2574
1305031100.0359 1.1083 0.6391 1.3594 0.6687 0.6397 -0.2781 -0.2575
1305031100.0459 1.1102 0.6384 1.3627 0.6672 0.6398 -0.2805 -0.2584
1305031100.0559 1.1125 0.6379 1.3662 0.6664 0.6404 -0.2813 -0.2581
1305031100.0659 1.1148 0.6373 1.3699 0.6653 0.6412 -0.2819 -0.2585
1305031100.0759 1.1170 0.6366 1.3733 0.6642 0.6415 -0.2828 -0.2595
1305031100.0859 1.1196 0.6362 1.3769 0.6636 0.6426 -0.2822 -0.2591
1305031100.0959 1.1219 0.6357 1.3803 0.6631 0.6428 -0.2825 -0.2594
1305031100.1058 1.1242 0.6352 1.3837 0.6624 0.6432 -0.2826 -0.2601
1305031100.1169 1.1266 0.6348 1.3872 0.6622 0.6435 -0.2825 -0.2599
1305031100.1259 1.1291 0.6341 1.3907 0.6619 0.6436 -0.2829 -0.2599
1305031100.1359 1.1316 0.6338 1.3941 0.6617 0.6440 -0.2833 -0.2593
1305031100.1459 1.1342 0.6332 1.3976 0.6614 0.6451 -0.2829 -0.2578
1305031100.1559 1.1367 0.6327 1.4009 0.6607 0.6455 -0.2837 -0.2576
1305031100.1659 1.1395 0.6322 1.4044 0.6603 0.6470 -0.2828 -0.2559
1305031100.1759 1.1422 0.6318 1.4079 0.6597 0.6476 -0.2828 -0.2557
1305031100.1859 1.1450 0.6314 1.4115 0.6593 0.6483 -0.2829 -0.2551
1305031100.1959 1.1477 0.6311 1.4152 0.6588 0.6484 -0.2839 -0.2550
1305031100.2060 1.1506 0.6308 1.4190 0.6588 0.6480 -0.2850 -0.2547
1305031100.2159 1.1536 0.6305 1.4227 0.6590 0.6475 -0.2863 -0.2542
1305031100.2259 1.1563 0.6302 1.4264 0.6582 0.6467 -0.2891 -0.2548
1305031100.2359 1.1595 0.6300 1.4302 0.6583 0.6467 -0.2897 -0.2540
1305031100.2459 1.1624 0.6297 1.4339 0.6580 0.6468 -0.2912 -0.2529
1305031100.2559 1.1655 0.6294 1.4377 0.6579 0.6468 -0.2920 -0.2522
1305031100.2659 1.1681 0.6291 1.4414 0.6569 0.6463 -0.2949 -0.2527
1305031100.2759 1.1712 0.6290 1.4453 0.6568 0.6467 -0.2954 -0.2514
1305031100.2859 1.1741 0.6288 1.4490 0.6566 0.6466 -0.2967 -0.2504
1305031100.2959 1.1773 0.6286 1.4527 0.6564 0.6466 -0.2983 -0.2490
1305031100.3060 1.1803 0.6284 1.4564 0.6565 0.6461 -0.2996 -0.2485
1305031100.3159 1.1832 0.6282 1.4603 0.6566 0.6454 -0.3014 -0.2481
1305031100.3259 1.1862 0.6280 1.4643 0.6557 0.6447 -0.3040 -0.2492
1305031100.3359 1.1893 0.6281 1.4682 0.6553 0.6446 -0.3051 -0.2490
1305031100.3459 1.1919 0.6278 1.4720 0.6546 0.6444 -0.3064 -0.2496
1305031100.3559 1.1955 0.6278 1.4760 0.6547 0.6452 -0.3061 -0.2480
1305031100.3658 1.1983 0.6276 1.4797 0.6546 0.6448 -0.3071 -0.2477
1305031100.3759 1.2017 0.6277 1.4836 0.6552 0.6446 -0.3068 -0.2471
1305031100.3859 1.2049 0.6276 1.4875 0.6560 0.6441 -0.3067 -0.2464
1305031100.3959 1.2081 0.6274 1.4913 0.6567 0.6432 -0.3069 -0.2466
1305031100.4059 1.2114 0.6273 1.4953 0.6570 0.6434 -0.3065 -0.2458
1305031100.4159 1.2144 0.6273 1.4992 0.6567 0.6427 -0.3074 -0.2473
1305031100.4259 1.2175 0.6272 1.5030 0.6567 0.6421 -0.3079 -0.2483
1305031100.4359 1.2205 0.6270 1.5069 0.6566 0.6416 -0.3083 -0.2494
1305031100.4460 1.2238 0.6268 1.5108 0.6568 0.6423 -0.3072 -0.2484
1305031100.4558 1.2270 0.6268 1.5148 0.6568 0.6426 -0.3066 -0.2485
1305031100.4658 1.2301 0.6265 1.5186 0.6562 0.6422 -0.3075 -0.2499
1305031100.4759 1.2330 0.6263 1.5224 0.6561 0.6424 -0.3071 -0.2501
1305031100.4858 1.2359 0.6260 1.5265 0.6555 0.6422 -0.3075 -0.2516
1305031100.4958 1.2388 0.6258 1.5304 0.6557 0.6418 -0.3070 -0.2528
1305031100.5059 1.2421 0.6259 1.5343 0.6556 0.6427 -0.3054 -0.2528
1305031100.5158 1.2450 0.6256 1.5381 0.6552 0.6426 -0.3052 -0.2541
1305031100.5259 1.2478 0.6253 1.5417 0.6545 0.6429 -0.3051 -0.2555
1305031100.5359 1.2509 0.6252 1.5457 0.6542 0.6436 -0.3038 -0.2559
1305031100.5459 1.2536 0.6250 1.5494 0.6537 0.6435 -0.3036 -0.2577
1305031100.5558 1.2563 0.6246 1.5531 0.6531 0.6439 -0.3030 -0.2589
1305031100.5658 1.2592 0.6244 1.5570 0.6528 0.6444 -0.3019 -0.2596
1305031100.5758 1.2620 0.6242 1.5606 0.6526 0.6444 -0.3017 -0.2604
1305031100.5859 1.2646 0.6240 1.5641 0.6525 0.6441 -0.3017 -0.2616
1305031100.5959 1.2674 0.6239 1.5678 0.6527 0.6444 -0.3002 -0.2620
1305031100.6059 1.2704 0.6236 1.5714 0.6532 0.6447 -0.2985 -0.2619
1305031100.6159 1.2728 0.6235 1.5748 0.6531 0.6444 -0.2984 -0.2630
1305031100.6259 1.2754 0.6230 1.5783 0.6529 0.6442 -0.2983 -0.2640
1305031100.6359 1.2778 0.6229 1.5818 0.6526 0.6440 -0.2986 -0.2648
1305031100.6459 1.2799 0.6227 1.5851 0.6519 0.6434 -0.2991 -0.2676
1305031100.6559 1.2825 0.6226 1.5884 0.6518 0.6436 -0.2982 -0.2683
1305031100.6659 1.2847 0.6224 1.5917 0.6511 0.6435 -0.2989 -0.2697
1305031100.6759 1.2873 0.6222 1.5950 0.6509 0.6439 -0.2981 -0.2698
1305031100.6858 1.2895 0.6220 1.5981 0.6509 0.6434 -0.2982 -0.2709
1305031100.6958 1.2918 0.6220 1.6012 0.6508 0.6430 -0.2981 -0.2724
1305031100.7058 1.2939 0.6219 1.6042 0.6507 0.6423 -0.2980 -0.2744
1305031100.7159 1.2963 0.6218 1.6075 0.6507 0.6423 -0.2974 -0.2751
1305031100.7259 1.2983 0.6217 1.6104 0.6504 0.6420 -0.2974 -0.2762
1305031100.7358 1.3007 0.6217 1.6133 0.6509 0.6420 -0.2962 -0.2765
1305031100.7460 1.3028 0.6215 1.6159 0.6507 0.6413 -0.2967 -0.2780
1305031100.7559 1.3049 0.6215 1.6186 0.6508 0.6411 -0.2966 -0.2784
1305031100.7658 1.3067 0.6215 1.6213 0.6504 0.6410 -0.2971 -0.2789
1305031100.7758 1.3088 0.6213 1.6239 0.6511 0.6403 -0.2963 -0.2796
1305031100.7858 1.3107 0.6211 1.6265 0.6512 0.6402 -0.2963 -0.2800
1305031100.7958 1.3131 0.6212 1.6291 0.6519 0.6397 -0.2954 -0.2802
1305031100.8059 1.3152 0.6213 1.6315 0.6522 0.6394 -0.2951 -0.2807
1305031100.8158 1.3167 0.6210 1.6338 0.6515 0.6388 -0.2968 -0.2816
1305031100.8258 1.3185 0.6209 1.6360 0.6516 0.6382 -0.2976 -0.2821
1305031100.8359 1.3206 0.6210 1.6384 0.6521 0.6377 -0.2972 -0.2825
1305031100.8459 1.3226 0.6209 1.6406 0.6525 0.6373 -0.2971 -0.2825
1305031100.8559 1.3249 0.6211 1.6428 0.6537 0.6357 -0.2968 -0.2837
1305031100.8658 1.3266 0.6208 1.6447 0.6533 0.6353 -0.2981 -0.2842
1305031100.8758 1.3284 0.6206 1.6469 0.6532 0.6350 -0.2981 -0.2850
1305031100.8859 1.3307 0.6207 1.6491 0.6540 0.6342 -0.2969 -0.2861
1305031100.8958 1.3324 0.6205 1.6512 0.6535 0.6343 -0.2975 -0.2865
1305031100.9059 1.3343 0.6202 1.6532 0.6529 0.6336 -0.2985 -0.2883
1305031100.9158 1.3361 0.6200 1.6553 0.6527 0.6332 -0.2986 -0.2898
1305031100.9259 1.3381 0.6199 1.6573 0.6526 0.6329 -0.2980 -0.2912
1305031100.9359 1.3401 0.6198 1.6593 0.6524 0.6326 -0.2977 -0.2925
1305031100.9459 1.3419 0.6195 1.6612 0.6519 0.6322 -0.2984 -0.2938
1305031100.9559 1.3443 0.6195 1.6632 0.6525 0.6316 -0.2970 -0.2952
1305031100.9659 1.3458 0.6194 1.6649 0.6526 0.6311 -0.2967 -0.2963
1305031100.9759 1.3477 0.6192 1.6668 0.6527 0.6308 -0.2963 -0.2970
1305031100.9860 1.3492 0.6190 1.6684 0.6525 0.6294 -0.2974 -0.2994
1305031100.9959 1.3514 0.6189 1.6702 0.6535 0.6292 -0.2960 -0.2991
1305031101.0059 1.3530 0.6190 1.6719 0.6534 0.6279 -0.2963 -0.3016
1305031101.0159 1.3549 0.6189 1.6734 0.6534 0.6273 -0.2967 -0.3026
1305031101.0258 1.3568 0.6189 1.6753 0.6537 0.6262 -0.2967 -0.3042
1305031101.0358 1.3585 0.6190 1.6770 0.6533 0.6253 -0.2970 -0.3067
1305031101.0459 1.3602 0.6189 1.6787 0.6533 0.6245 -0.2970 -0.3082
1305031101.0559 1.3619 0.6187 1.6804 0.6529 0.6241 -0.2972 -0.3096
1305031101.0659 1.3636 0.6186 1.6821 0.6524 0.6235 -0.2972 -0.3119
1305031101.0758 1.3655 0.6186 1.6837 0.6521 0.6231 -0.2973 -0.3133
1305031101.0859 1.3671 0.6185 1.6852 0.6521 0.6222 -0.2973 -0.3149
1305031101.0959 1.3688 0.6186 1.6869 0.6519 0.6219 -0.2969 -0.3164
1305031101.1059 1.3704 0.6185 1.6883 0.6521 0.6213 -0.2967 -0.3173
1305031101.1159 1.3722 0.6185 1.6898 0.6526 0.6208 -0.2959 -0.3182
1305031101.1259 1.3738 0.6186 1.6913 0.6526 0.6205 -0.2957 -0.3188
1305031101.1359 1.3750 0.6185 1.6926 0.6524 0.6197 -0.2962 -0.3204
1305031101.1459 1.3768 0.6187 1.6943 0.6522 0.6191 -0.2963 -0.3217
1305031101.1558 1.3782 0.6185 1.6956 0.6523 0.6190 -0.2956 -0.3224
1305031101.1659 1.3800 0.6185 1.6972 0.6522 0.6187 -0.2952 -0.3236
1305031101.1759 1.3812 0.6186 1.6987 0.6520 0.6182 -0.2954 -0.3248
1305031101.1858 1.3826 0.6185 1.7000 0.6515 0.6175 -0.2962 -0.3264
1305031101.1958 1.3841 0.6187 1.7014 0.6517 0.6172 -0.2955 -0.3271
1305031101.2059 1.3852 0.6190 1.7030 0.6513 0.6158 -0.2967 -0.3296
1305031101.2158 1.3865 0.6190 1.7044 0.6516 0.6158 -0.2959 -0.3297
1305031101.2258 1.3879 0.6192 1.7057 0.6520 0.6151 -0.2957 -0.3301
1305031101.2359 1.3896 0.6193 1.7074 0.6543 0.6154 -0.2920 -0.3285
1305031101.2459 1.3910 0.6195 1.7087 0.6551 0.6147 -0.2916 -0.3286
1305031101.2559 1.3923 0.6196 1.7101 0.6555 0.6142 -0.2913 -0.3290
1305031101.2659 1.3936 0.6199 1.7115 0.6563 0.6133 -0.2911 -0.3293
1305031101.2759 1.3954 0.6201 1.7131 0.6573 0.6135 -0.2894 -0.3283
1305031101.2859 1.3965 0.6202 1.7145 0.6570 0.6123 -0.2908 -0.3299
1305031101.2959 1.3979 0.6204 1.7163 0.6570 0.6116 -0.2911 -0.3310
1305031101.3059 1.3994 0.6208 1.7179 0.6570 0.6110 -0.2917 -0.3317
1305031101.3158 1.4006 0.6210 1.7195 0.6568 0.6105 -0.2916 -0.3330
1305031101.3258 1.4020 0.6214 1.7212 0.6567 0.6097 -0.2924 -0.3339
1305031101.3359 1.4034 0.6217 1.7229 0.6566 0.6091 -0.2926 -0.3350
1305031101.3459 1.4047 0.6220 1.7246 0.6567 0.6089 -0.2924 -0.3355
1305031101.3559 1.4062 0.6223 1.7263 0.6571 0.6078 -0.2929 -0.3362
1305031101.3659 1.4074 0.6228 1.7278 0.6569 0.6064 -0.2941 -0.3379
1305031101.3758 1.4086 0.6231 1.7295 0.6578 0.6052 -0.2944 -0.3380
1305031101.3858 1.4101 0.6237 1.7311 0.6583 0.6042 -0.2946 -0.3388
1305031101.3959 1.4113 0.6239 1.7325 0.6594 0.6030 -0.2947 -0.3387
1305031101.4059 1.4127 0.6246 1.7342 0.6605 0.6018 -0.2943 -0.3389
1305031101.4159 1.4138 0.6250 1.7355 0.6612 0.6007 -0.2946 -0.3395
1305031101.4259 1.4144 0.6254 1.7371 0.6616 0.5992 -0.2951 -0.3408
1305031101.4358 1.4159 0.6258 1.7385 0.6622 0.5992 -0.2944 -0.3404
1305031101.4459 1.4162 0.6264 1.7399 0.6604 0.5984 -0.2970 -0.3428
1305031101.4558 1.4168 0.6266 1.7410 0.6598 0.5977 -0.2987 -0.3437
1305031101.4659 1.4182 0.6271 1.7427 0.6598 0.5983 -0.2973 -0.3440
1305031101.4758 1.4189 0.6273 1.7439 0.6593 0.5975 -0.2987 -0.3451
1305031101.4858 1.4197 0.6279 1.7452 0.6587 0.5976 -0.2993 -0.3456
1305031101.4958 1.4206 0.6282 1.7464 0.6592 0.5973 -0.2987 -0.3456
1305031101.5058 1.4212 0.6287 1.7476 0.6582 0.5970 -0.3003 -0.3466
1305031101.5159 1.4219 0.6291 1.7487 0.6585 0.5969 -0.3004 -0.3462
1305031101.5258 1.4239 0.6298 1.7505 0.6607 0.5960 -0.2974 -0.3461
1305031101.5360 1.4245 0.6302 1.7518 0.6605 0.5947 -0.2991 -0.3474
1305031101.5459 1.4251 0.6306 1.7530 0.6599 0.5940 -0.3002 -0.3485
1305031101.5559 1.4257 0.6312 1.7540 0.6595 0.5943 -0.3009 -0.3483
1305031101.5659 1.4263 0.6316 1.7552 0.6599 0.5942 -0.3004 -0.3481
1305031101.5759 1.4269 0.6321 1.7562 0.6602 0.5938 -0.2997 -0.3488
1305031101.5858 1.4272 0.6326 1.7571 0.6601 0.5931 -0.3004 -0.3496
1305031101.5958 1.4274 0.6333 1.7579 0.6604 0.5923 -0.3004 -0.3504
1305031101.6059 1.4278 0.6337 1.7587 0.6608 0.5913 -0.3000 -0.3517
1305031101.6158 1.4279 0.6341 1.7595 0.6604 0.5903 -0.3007 -0.3536
1305031101.6258 1.4282 0.6345 1.7601 0.6609 0.5898 -0.3001 -0.3538
1305031101.6359 1.4280 0.6348 1.7607 0.6612 0.5886 -0.3005 -0.3550
1305031101.6459 1.4281 0.6355 1.7612 0.6609 0.5878 -0.3004 -0.3569
1305031101.6559 1.4280 0.6358 1.7615 0.6609 0.5868 -0.3004 -0.3586
1305031101.6658 1.4279 0.6362 1.7616 0.6610 0.5868 -0.2994 -0.3594
1305031101.6759 1.4276 0.6365 1.7614 0.6610 0.5863 -0.2988 -0.3605
1305031101.6858 1.4271 0.6368 1.7611 0.6616 0.5862 -0.2974 -0.3607
1305031101.6959 1.4269 0.6372 1.7607 0.6623 0.5865 -0.2961 -0.3603
1305031101.7059 1.4267 0.6375 1.7602 0.6626 0.5863 -0.2954 -0.3605
1305031101.7158 1.4260 0.6377 1.7596 0.6627 0.5858 -0.2955 -0.3611
1305031101.7259 1.4254 0.6380 1.7588 0.6627 0.5857 -0.2957 -0.3611
1305031101.7359 1.4249 0.6382 1.7580 0.6627 0.5858 -0.2955 -0.3611
